"Invoices 
"
Vendor,"Invoice Number",Date,Amount,Status
KFC,PRMS/31/INVS,04/09/2014,80,paid
"D Huxley Enterprises",PRMS/5/INVS,09/09/2014,250,paid
Test123,PRMS/6/INVS,10/09/2014,50,paid
"Panovus Marketing",PRMS/7/INVS,11/09/2014,250,paid
"Panovus Marketing",PRMS/8/INVS,11/09/2014,750,paid
"Oracle          ",PRMS/9/INVS,12/09/2014,8,paid
"Coupon Testes",PRMS/10/INVS,16/09/2014,0.01,paid
HSBC,PRMS/12/INVS,16/09/2014,9,paid
KFC,PRMS/13/INVS,29/09/2014,-14.17,paid
KFC,PRMS/14/INVS,16/10/2014,-51,paid
"Thomas Enterprises",PRMS/15/INVS,20/11/2014,50,paid
"Hickman Associates",PRMS/16/INVS,21/11/2014,10,paid
"Hickman Associates",PRMS/17/INVS,21/11/2014,40,paid
"Hickman Associates",PRMS/18/INVS,21/11/2014,209,paid
"Thomas Enterprises",MarketingConneX/19/INVS,28/11/2014,8,paid
"Thomas Enterprises",MarketingConneX/20/INVS,28/11/2014,251,paid
"Green Trees",MarketingConneX/21/INVS,29/11/2014,8,paid
"Pizza Hut",MarketingConneX/22/INVS,02/12/2014,50,paid
"Dominic Huxley payment testing Ltd",MarketingConneX/23/INVS,11/12/2014,1500,paid
"Company Business LTD",MarketingConneX/25/INVS,15/12/2014,41925,paid
edrtw,MarketingConneX/26/INVS,18/12/2014,2700,paid
KFC,,01/01/1970,10,cancelled
"D Huxley Enterprises",178888,07/01/2015,149.99,pending
"James Self SIC Ltd",MarketingConneX/27/INVS,07/01/2015,82825,paid
"2015 TESTING ACCOUNT",MarketingConneX/30/INVS,08/01/2015,41925,paid
